Name_of_the_Purchaser,Denominations,purchase_date,purchase_month,purchase_year,id
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2866
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2868
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2858
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2870
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2874
GUJARAT FLUORO CHEMICALS LIMITED,10000000.0,15,Apr,2019,OC2856
KOTESWAR RAO GULLAPALLY,100000.0,15,Apr,2019,OL23675
KOTESWAR RAO GULLAPALLY,100000.0,15,Apr,2019,OL23668
KOTESWAR RAO GULLAPALLY,100000.0,15,Apr,2019,OL23670
KOTESWAR RAO GULLAPALLY,100000.0,15,Apr,2019,OL23677
KOTESWAR RAO GULLAPALLY,100000.0,15,Apr,2019,OL23672
MANDADI RAMULU,100000.0,15,Apr,2019,OL23651
MANDADI RAMULU,100000.0,15,Apr,2019,OL23653
MANDADI RAMULU,100000.0,15,Apr,2019,OL23655
MANDADI RAMULU,100000.0,15,Apr,2019,OL23657
MOHINDER                                 KUMAR JAIN,1000000.0,15,Apr,2019,TL10908
MOHINDER                                 KUMAR JAIN,1000000.0,15,Apr,2019,TL10909
MOHINDER                                 KUMAR JAIN,100000.0,15,Apr,2019,OL3145
MOHINDER                                 KUMAR JAIN,100000.0,15,Apr,2019,OL3143
MOHINDER                                 KUMAR JAIN,100000.0,15,Apr,2019,OL3144
MOHINDER                                 KUMAR JAIN,100000.0,15,Apr,2019,OL3142
MOHINDER                                 KUMAR JAIN,100000.0,15,Apr,2019,OL3141
MR RAJ DEEPAK VARSHNEY,100000.0,15,Apr,2019,OL3146
MR RAJ DEEPAK VARSHNEY,100000.0,15,Apr,2019,OL3130
MR RAJ DEEPAK VARSHNEY,100000.0,15,Apr,2019,OL3129
MR RAJ DEEPAK VARSHNEY,100000.0,15,Apr,2019,OL3128
MR RAJ DEEPAK VARSHNEY,100000.0,15,Apr,2019,OL3127
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10926
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10925
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10928
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10922
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10905
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10924
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10907
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10927
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10906
MS PEARL GLOBAL INDUSTRIES LTD FORM,1000000.0,15,Apr,2019,TL10923
OCEAN SPARKLE LTD,1000000.0,15,Apr,2019,TL7537
PAPPI REDDY                              KISHORE KUMAR REDDY,100000.0,15,Apr,2019,OL23687
